id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_ks_warehouse_report_admin,ks.warehouse.report,model_ks_warehouse_report,base.group_user,1,1,1,1

access_ks_warehouse_report_valuation_admin,ks.warehouse.report.valuation,model_ks_warehouse_report_valuation,base.group_user,1,1,1,1
access_ks_warehouse_report_valuation_out_admin,ks.warehouse.report.valuation.out,model_ks_warehouse_report_valuation_out,base.group_user,1,1,1,1

access_ks_warehouse_report_measures_repo,ks.warehouse.report.measures_repo,model_ks_warehouse_report_measure,base.group_user,1,1,1,1
access_ks_warehouse_report_measure_out,access_ks_warehouse_report_measure_out,model_ks_warehouse_report_measure_out,base.group_user,1,1,1,1

access_ks_warehouse_report_movements_repo,ks.warehouse.report.movements_repo,model_ks_warehouse_report_movement,base.group_user,1,1,1,1
access_ks_warehouse_report_movement_out,access_ks_warehouse_report_movement_out,model_ks_warehouse_report_movement_out,base.group_user,1,1,1,1

access_ks_warehouse_report_status_repo,ks.warehouse.report.status_repo,model_ks_warehouse_report_status,base.group_user,1,1,1,1
access_ks_warehouse_report_status_out,access_ks_warehouse_report_status_out,model_ks_warehouse_report_status_out,base.group_user,1,1,1,1

access_ks_warehouse_report_location_transfer_repo,ks.warehouse.report.location_transfer_repo,model_ks_warehouse_report_location_transfer,base.group_user,1,1,1,1
access_ks_warehouse_report_location_transfer_out,access_ks_warehouse_report_location_transfer_out,model_ks_warehouse_report_location_transfer_out,base.group_user,1,1,1,1

access_ks_warehouse_report_ageing_no_movement_repo,ks.warehouse.report.ageing_no_movement_repo,model_ks_warehouse_report_ageing_no_movement,base.group_user,1,1,1,1
access_ks_warehouse_report_ageing_no_movement_out,access_ks_warehouse_report_ageing_no_movement_out,model_ks_warehouse_report_ageing_no_movement_out,base.group_user,1,1,1,1

access_ks_warehouse_report_ageing_with_movement_repo,ks.warehouse.report.ageing_with_movement_repo,model_ks_warehouse_report_ageing_with_movement,base.group_user,1,1,1,1
access_ks_warehouse_report_ageing_with_movement_out,access_ks_warehouse_report_ageing_with_movement_out,model_ks_warehouse_report_ageing_with_movement_out,base.group_user,1,1,1,1